case,rate_hz,section,cutoff_hz,probe_hz,quantum_frames,rbj_magnitude_db,cast_state_magnitude_db,impulse_dft_magnitude_db,sustained_fundamental_db,sustained_residual_db,sustained_total_db,tail_energy,recovery_count
response-high_pass-44100-1-0-2,44100,high_pass,10.00000000000000000,12.00000000000000000,1,-1.70922321191833393,-1.70922309875484957,-1.70921938529053774,-1.70922142143601796,-131.79086241234696786,-1.70922142274539901,0.00000000000000000,0
response-high_pass-44100-127-0-2,44100,high_pass,10.00000000000000000,12.00000000000000000,127,-1.70922321191833393,-1.70922309875484957,-1.70921938529053774,-1.70922142143601796,-131.79086241234696786,-1.70922142274539901,0.00000000000000000,0
response-high_pass-44100-128-0-2,44100,high_pass,10.00000000000000000,12.00000000000000000,128,-1.70922321191833393,-1.70922309875484957,-1.70921938529053774,-1.70922142143601796,-131.79086241234696786,-1.70922142274539901,0.00000000000000000,0
response-high_pass-44100-255-0-2,44100,high_pass,10.00000000000000000,12.00000000000000000,255,-1.70922321191833393,-1.70922309875484957,-1.70921938529053774,-1.70922142143601796,-131.79086241234696786,-1.70922142274539901,0.00000000000000000,0
response-high_pass-44100-1024-0-2,44100,high_pass,10.00000000000000000,12.00000000000000000,1024,-1.70922321191833393,-1.70922309875484957,-1.70921938529053774,-1.70922142143601796,-131.79086241234696786,-1.70922142274539901,0.00000000000000000,0
response-high_pass-44100-1-0-3,44100,high_pass,10.00000000000000000,40.00000000000000000,1,-0.01693140866048061,-0.01693141530953234,-0.01693212123992823,-0.01693095376756184,-139.96678508231971705,-0.01693095547930159,0.00000000000000000,0
response-high_pass-44100-127-0-3,44100,high_pass,10.00000000000000000,40.00000000000000000,127,-0.01693140866048061,-0.01693141530953234,-0.01693212123992823,-0.01693095376756184,-139.96678508231971705,-0.01693095547930159,0.00000000000000000,0
response-high_pass-44100-128-0-3,44100,high_pass,10.00000000000000000,40.00000000000000000,128,-0.01693140866048061,-0.01693141530953234,-0.01693212123992823,-0.01693095376756184,-139.96678508231971705,-0.01693095547930159,0.00000000000000000,0
response-high_pass-44100-255-0-3,44100,high_pass,10.00000000000000000,40.00000000000000000,255,-0.01693140866048061,-0.01693141530953234,-0.01693212123992823,-0.01693095376756184,-139.96678508231971705,-0.01693095547930159,0.00000000000000000,0
response-high_pass-44100-1024-0-3,44100,high_pass,10.00000000000000000,40.00000000000000000,1024,-0.01693140866048061,-0.01693141530953234,-0.01693212123992823,-0.01693095376756184,-139.96678508231971705,-0.01693095547930159,0.00000000000000000,0
response-high_pass-44100-1-0-4,44100,high_pass,10.00000000000000000,8820.00000000000000000,1,-0.00000000000401353,-0.00000000000414950,-0.00000010190176654,-0.00000014163572124,-159.67799389343645089,-0.00000026445529573,0.00000000000000000,0
response-high_pass-44100-127-0-4,44100,high_pass,10.00000000000000000,8820.00000000000000000,127,-0.00000000000401353,-0.00000000000414950,-0.00000010190176654,-0.00000014163572124,-159.67799389343645089,-0.00000026445529573,0.00000000000000000,0
response-high_pass-44100-128-0-4,44100,high_pass,10.00000000000000000,8820.00000000000000000,128,-0.00000000000401353,-0.00000000000414950,-0.00000010190176654,-0.00000014163572124,-159.67799389343645089,-0.00000026445529573,0.00000000000000000,0
response-high_pass-44100-255-0-4,44100,high_pass,10.00000000000000000,8820.00000000000000000,255,-0.00000000000401353,-0.00000000000414950,-0.00000010190176654,-0.00000014163572124,-159.67799389343645089,-0.00000026445529573,0.00000000000000000,0
response-high_pass-44100-1024-0-4,44100,high_pass,10.00000000000000000,8820.00000000000000000,1024,-0.00000000000401353,-0.00000000000414950,-0.00000010190176654,-0.00000014163572124,-159.67799389343645089,-0.00000026445529573,0.00000000000000000,0
response-high_pass-44100-1-0-5,44100,high_pass,10.00000000000000000,19844.00000000000000000,1,0.00000000000000000,-0.00000000000000193,-0.00000010117399631,-0.00000010753940145,-150.71107056350470543,-0.00000011058142938,0.00000000000000000,0
response-high_pass-44100-127-0-5,44100,high_pass,10.00000000000000000,19844.00000000000000000,127,0.00000000000000000,-0.00000000000000193,-0.00000010117399631,-0.00000010753940145,-150.71107056350470543,-0.00000011058142938,0.00000000000000000,0
response-high_pass-44100-128-0-5,44100,high_pass,10.00000000000000000,19844.00000000000000000,128,0.00000000000000000,-0.00000000000000193,-0.00000010117399631,-0.00000010753940145,-150.71107056350470543,-0.00000011058142938,0.00000000000000000,0
response-high_pass-44100-255-0-5,44100,high_pass,10.00000000000000000,19844.00000000000000000,255,0.00000000000000000,-0.00000000000000193,-0.00000010117399631,-0.00000010753940145,-150.71107056350470543,-0.00000011058142938,0.00000000000000000,0
response-high_pass-44100-1024-0-5,44100,high_pass,10.00000000000000000,19844.00000000000000000,1024,0.00000000000000000,-0.00000000000000193,-0.00000010117399631,-0.00000010753940145,-150.71107056350470543,-0.00000011058142938,0.00000000000000000,0
response-high_pass-44100-1-0-6,44100,high_pass,10.00000000000000000,21609.00000000000000000,1,0.00000000000000000,0.00000000000000000,-0.00000008409409612,-0.00077961670133460,-56.79740624380268343,-0.00000039223339580,0.00000000000000000,0
response-high_pass-44100-127-0-6,44100,high_pass,10.00000000000000000,21609.00000000000000000,127,0.00000000000000000,0.00000000000000000,-0.00000008409409612,-0.00077961670133460,-56.79740624380268343,-0.00000039223339580,0.00000000000000000,0
response-high_pass-44100-128-0-6,44100,high_pass,10.00000000000000000,21609.00000000000000000,128,0.00000000000000000,0.00000000000000000,-0.00000008409409612,-0.00077961670133460,-56.79740624380268343,-0.00000039223339580,0.00000000000000000,0
response-high_pass-44100-255-0-6,44100,high_pass,10.00000000000000000,21609.00000000000000000,255,0.00000000000000000,0.00000000000000000,-0.00000008409409612,-0.00077961670133460,-56.79740624380268343,-0.00000039223339580,0.00000000000000000,0
response-high_pass-44100-1024-0-6,44100,high_pass,10.00000000000000000,21609.00000000000000000,1024,0.00000000000000000,0.00000000000000000,-0.00000008409409612,-0.00077961670133460,-56.79740624380268343,-0.00000039223339580,0.00000000000000000,0
response-high_pass-44100-1-1-0,44100,high_pass,20.00000000000000000,4.00000000000000000,1,-27.96575459696492061,-27.96575407354494303,-27.96576293286106463,-27.96575769055763772,-134.51554930261067966,-27.96575769350336316,0.00000000000000000,0
response-high_pass-44100-127-1-0,44100,high_pass,20.00000000000000000,4.00000000000000000,127,-27.96575459696492061,-27.96575407354494303,-27.96576293286106463,-27.96575769055763772,-134.51554930261067966,-27.96575769350336316,0.00000000000000000,0
response-high_pass-44100-128-1-0,44100,high_pass,20.00000000000000000,4.00000000000000000,128,-27.96575459696492061,-27.96575407354494303,-27.96576293286106463,-27.96575769055763772,-134.51554930261067966,-27.96575769350336316,0.00000000000000000,0
response-high_pass-44100-255-1-0,44100,high_pass,20.00000000000000000,4.00000000000000000,255,-27.96575459696492061,-27.96575407354494303,-27.96576293286106463,-27.96575769055763772,-134.51554930261067966,-27.96575769350336316,0.00000000000000000,0
response-high_pass-44100-1024-1-0,44100,high_pass,20.00000000000000000,4.00000000000000000,1024,-27.96575459696492061,-27.96575407354494303,-27.96576293286106463,-27.96575769055763772,-134.51554930261067966,-27.96575769350336316,0.00000000000000000,0
response-high_pass-44100-1-1-1,44100,high_pass,20.00000000000000000,20.00000000000000000,1,-3.01029995659515315,-3.01029960919231154,-3.01030016067247841,-3.01029950647714450,-129.26607775751367058,-3.01029950818777792,0.00000000000000000,0
response-high_pass-44100-127-1-1,44100,high_pass,20.00000000000000000,20.00000000000000000,127,-3.01029995659515315,-3.01029960919231154,-3.01030016067247841,-3.01029950647714450,-129.26607775751367058,-3.01029950818777792,0.00000000000000000,0
response-high_pass-44100-128-1-1,44100,high_pass,20.00000000000000000,20.00000000000000000,128,-3.01029995659515315,-3.01029960919231154,-3.01030016067247841,-3.01029950647714450,-129.26607775751367058,-3.01029950818777792,0.00000000000000000,0
response-high_pass-44100-255-1-1,44100,high_pass,20.00000000000000000,20.00000000000000000,255,-3.01029995659515315,-3.01029960919231154,-3.01030016067247841,-3.01029950647714450,-129.26607775751367058,-3.01029950818777792,0.00000000000000000,0
response-high_pass-44100-1024-1-1,44100,high_pass,20.00000000000000000,20.00000000000000000,1024,-3.01029995659515315,-3.01029960919231154,-3.01030016067247841,-3.01029950647714450,-129.26607775751367058,-3.01029950818777792,0.00000000000000000,0
response-high_pass-44100-1-1-2,44100,high_pass,20.00000000000000000,80.00000000000000000,1,-0.01693089414813151,-0.01693088115214694,-0.01693084848817039,-0.01693090879085993,-141.71268393067649072,-0.01693091050265185,0.00000000000000000,0
response-high_pass-44100-127-1-2,44100,high_pass,20.00000000000000000,80.00000000000000000,127,-0.01693089414813151,-0.01693088115214694,-0.01693084848817039,-0.01693090879085993,-141.71268393067649072,-0.01693091050265185,0.00000000000000000,0
response-high_pass-44100-128-1-2,44100,high_pass,20.00000000000000000,80.00000000000000000,128,-0.01693089414813151,-0.01693088115214694,-0.01693084848817039,-0.01693090879085993,-141.71268393067649072,-0.01693091050265185,0.00000000000000000,0
response-high_pass-44100-255-1-2,44100,high_pass,20.00000000000000000,80.00000000000000000,255,-0.01693089414813151,-0.01693088115214694,-0.01693084848817039,-0.01693090879085993,-141.71268393067649072,-0.01693091050265185,0.00000000000000000,0
response-high_pass-44100-1024-1-2,44100,high_pass,20.00000000000000000,80.00000000000000000,1024,-0.01693089414813151,-0.01693088115214694,-0.01693084848817039,-0.01693090879085993,-141.71268393067649072,-0.01693091050265185,0.00000000000000000,0
response-high_pass-44100-1-1-3,44100,high_pass,20.00000000000000000,8820.00000000000000000,1,-0.00000000006422710,-0.00000000006354822,-0.00000023999917804,-0.00000000578588766,-152.13715622594077104,-0.00000012860546312,0.00000000000000000,0
response-high_pass-44100-127-1-3,44100,high_pass,20.00000000000000000,8820.00000000000000000,127,-0.00000000006422710,-0.00000000006354822,-0.00000023999917804,-0.00000000578588766,-152.13715622594077104,-0.00000012860546312,0.00000000000000000,0
response-high_pass-44100-128-1-3,44100,high_pass,20.00000000000000000,8820.00000000000000000,128,-0.00000000006422710,-0.00000000006354822,-0.00000023999917804,-0.00000000578588766,-152.13715622594077104,-0.00000012860546312,0.00000000000000000,0
response-high_pass-44100-255-1-3,44100,high_pass,20.00000000000000000,8820.00000000000000000,255,-0.00000000006422710,-0.00000000006354822,-0.00000023999917804,-0.00000000578588766,-152.13715622594077104,-0.00000012860546312,0.00000000000000000,0
response-high_pass-44100-1024-1-3,44100,high_pass,20.00000000000000000,8820.00000000000000000,1024,-0.00000000006422710,-0.00000000006354822,-0.00000023999917804,-0.00000000578588766,-152.13715622594077104,-0.00000012860546312,0.00000000000000000,0
response-high_pass-44100-1-1-4,44100,high_pass,20.00000000000000000,19844.00000000000000000,1,-0.00000000000001157,-0.00000000000000289,-0.00000022340929674,0.00000012993631121,-149.35811732659917084,0.00000012689431133,0.00000000000000000,0
response-high_pass-44100-127-1-4,44100,high_pass,20.00000000000000000,19844.00000000000000000,127,-0.00000000000001157,-0.00000000000000289,-0.00000022340929674,0.00000012993631121,-149.35811732659917084,0.00000012689431133,0.00000000000000000,0
response-high_pass-44100-128-1-4,44100,high_pass,20.00000000000000000,19844.00000000000000000,128,-0.00000000000001157,-0.00000000000000289,-0.00000022340929674,0.00000012993631121,-149.35811732659917084,0.00000012689431133,0.00000000000000000,0
response-high_pass-44100-255-1-4,44100,high_pass,20.00000000000000000,19844.00000000000000000,255,-0.00000000000001157,-0.00000000000000289,-0.00000022340929674,0.00000012993631121,-149.35811732659917084,0.00000012689431133,0.00000000000000000,0
response-high_pass-44100-1024-1-4,44100,high_pass,20.00000000000000000,19844.00000000000000000,1024,-0.00000000000001157,-0.00000000000000289,-0.00000022340929674,0.00000012993631121,-149.35811732659917084,0.00000012689431133,0.00000000000000000,0
response-high_pass-44100-1-1-5,44100,high_pass,20.00000000000000000,21609.00000000000000000,1,-0.00000000000000096,0.00000000000000000,-0.00000020641928610,-0.00078041080471103,-56.79740718283311907,-0.00000078982339043,0.00000000000000000,0
response-high_pass-44100-127-1-5,44100,high_pass,20.00000000000000000,21609.00000000000000000,127,-0.00000000000000096,0.00000000000000000,-0.00000020641928610,-0.00078041080471103,-56.79740718283311907,-0.00000078982339043,0.00000000000000000,0
response-high_pass-44100-128-1-5,44100,high_pass,20.00000000000000000,21609.00000000000000000,128,-0.00000000000000096,0.00000000000000000,-0.00000020641928610,-0.00078041080471103,-56.79740718283311907,-0.00000078982339043,0.00000000000000000,0
response-high_pass-44100-255-1-5,44100,high_pass,20.00000000000000000,21609.00000000000000000,255,-0.00000000000000096,0.00000000000000000,-0.00000020641928610,-0.00078041080471103,-56.79740718283311907,-0.00000078982339043,0.00000000000000000,0
response-high_pass-44100-1024-1-5,44100,high_pass,20.00000000000000000,21609.00000000000000000,1024,-0.00000000000000096,0.00000000000000000,-0.00000020641928610,-0.00078041080471103,-56.79740718283311907,-0.00000078982339043,0.00000000000000000,0
response-high_pass-44100-1-2-0,44100,high_pass,100.00000000000000000,24.00000000000000000,1,-24.80621135499732333,-24.80621169287273275,-24.80617647469209075,-24.80621137618811645,-139.82963743500124565,-24.80621137748491378,0.00000000000000000,0
response-high_pass-44100-127-2-0,44100,high_pass,100.00000000000000000,24.00000000000000000,127,-24.80621135499732333,-24.80621169287273275,-24.80617647469209075,-24.80621137618811645,-139.82963743500124565,-24.80621137748491378,0.00000000000000000,0
response-high_pass-44100-128-2-0,44100,high_pass,100.00000000000000000,24.00000000000000000,128,-24.80621135499732333,-24.80621169287273275,-24.80617647469209075,-24.80621137618811645,-139.82963743500124565,-24.80621137748491378,0.00000000000000000,0
response-high_pass-44100-255-2-0,44100,high_pass,100.00000000000000000,24.00000000000000000,255,-24.80621135499732333,-24.80621169287273275,-24.80617647469209075,-24.80621137618811645,-139.82963743500124565,-24.80621137748491378,0.00000000000000000,0
response-high_pass-44100-1024-2-0,44100,high_pass,100.00000000000000000,24.00000000000000000,1024,-24.80621135499732333,-24.80621169287273275,-24.80617647469209075,-24.80621137618811645,-139.82963743500124565,-24.80621137748491378,0.00000000000000000,0
response-high_pass-44100-1-2-1,44100,high_pass,100.00000000000000000,100.00000000000000000,1,-3.01029995663949901,-3.01029960082014725,-3.01029654511047351,-3.01030117808458098,-137.25950958475297625,-3.01030119140655028,0.00000000000000000,0
response-high_pass-44100-127-2-1,44100,high_pass,100.00000000000000000,100.00000000000000000,127,-3.01029995663949901,-3.01029960082014725,-3.01029654511047351,-3.01030117808458098,-137.25950958475297625,-3.01030119140655028,0.00000000000000000,0
